qid,difficulty,problem,answer_option_list,answer_value,tag
33,1,Putting these lines~$\left\textbar{} \right\textbar$ round a number or calculation makes sure the answer is positive; for example both $\left\textbar{} 8\right\textbar$~and $\left\textbar{} -8\right\textbar$~ would give the answer $8$.What is the answer to:$10-\left\textbar{} 4-20\right\textbar$ ,"[[{'aoVal': 'A', 'content': '$$4$$ '}], [{'aoVal': 'B', 'content': '$$26$$ '}], [{'aoVal': 'C', 'content': '$$-6$$ '}], [{'aoVal': 'D', 'content': '$$6$$ '}]]",A,Understanding Numbers and Digits
36,1,"Adil says ""I have chosen a prime number less than $$20$$. It is one more than a multiple of $$4$$.""  How many possible numbers could Adil have chosen? ","[[{'aoVal': 'A', 'content': '$$0$$ '}], [{'aoVal': 'B', 'content': '$$1$$ '}], [{'aoVal': 'C', 'content': '$$2$$ '}], [{'aoVal': 'D', 'content': '$$3$$ '}], [{'aoVal': 'E', 'content': '$$4$$ '}]]",D,Knowing Prime and Composite Numbers
37,2,With how many zeroes does the product of the first $$2006$$ consecutive prime numbers end? ,"[[{'aoVal': 'A', 'content': '$$0$$ '}], [{'aoVal': 'B', 'content': '$$1$$ '}], [{'aoVal': 'C', 'content': '$$2$$ '}], [{'aoVal': 'D', 'content': '$$9$$ '}], [{'aoVal': 'E', 'content': '$$26$$ '}]]",B,The Number of Zeros at the end of a Product
39,0,Calculate quickly  $100\div5\div5$~=． ,"[[{'aoVal': 'A', 'content': '$100\\div（5\\times5）$ '}], [{'aoVal': 'B', 'content': '$100\\div（5-5）$ '}], [{'aoVal': 'C', 'content': '$100\\div（5\\div5）$ '}], [{'aoVal': 'D', 'content': '$100\\div（5+5）$ '}]]",A,Division without Remainders
40,1,The $$4$$-digit number $$6H74$$ is divisible by $$11$$. What is $$H$$? ,"[[{'aoVal': 'A', 'content': '$$1$$ '}], [{'aoVal': 'B', 'content': '$$4$$ '}], [{'aoVal': 'C', 'content': '$$5$$ '}], [{'aoVal': 'D', 'content': '$$7$$ '}], [{'aoVal': 'E', 'content': '$$9$$ '}]]",E,Divisibility Rules
44,2,If  $$-$$ means $$\times$$  $$+$$ means $$\div$$  $$\times$$ means $$+$$  $$\div$$ means $$-$$  Then: $$20+(4\div 2)-2\times 5=$$？ ,"[[{'aoVal': 'A', 'content': '$$12$$ '}], [{'aoVal': 'B', 'content': '$$20$$ '}], [{'aoVal': 'C', 'content': '$$25$$ '}], [{'aoVal': 'D', 'content': '$$22$$ '}], [{'aoVal': 'E', 'content': '$$35$$ '}]]",C,Number Theory Modules
50,1,"Adam wrote out all the numbers from $$1$$ to $$60$$ inclusive. How many times did he use the digit $$5$$? ($$2008$$ Math Kangaroo Problem, Level $$1-2$$, Question \#$$15$$) ","[[{'aoVal': 'A', 'content': '$$15$$ '}], [{'aoVal': 'B', 'content': '$$16$$ '}], [{'aoVal': 'C', 'content': '$$6$$ '}], [{'aoVal': 'D', 'content': '$$7$$ '}]]",B,Questions Involving Applying Place Value Principle
52,0,Is $$1234$$ divisible by $$11$$ ? ,"[[{'aoVal': 'A', 'content': 'Yes '}], [{'aoVal': 'B', 'content': 'No '}]]",B,Division without Remainders
53,1,\textbf{Sums of squares}  Exactly one of these statements is correct. Which one?  Circle the correct answer:． ,"[[{'aoVal': 'A', 'content': '$$44^{2}+77^{2}=4477$$ '}], [{'aoVal': 'B', 'content': '$$55^{2}+66^{2}=5566$$ '}], [{'aoVal': 'C', 'content': '$$66^{2}+55^{2}=6655$$ '}], [{'aoVal': 'D', 'content': '$$88^{2}+33^{2}=8833$$ '}], [{'aoVal': 'E', 'content': '$$99^{2}+22^{2}=9922$$ '}]]",D,Questions involving Square Numbers
54,1,What is the size of a rectangle if the original $$15 cm$$ length is reduced by $40\textbackslash\%$~and the $$12 cm$$ width is reduced by $50\textbackslash\%$? ,"[[{'aoVal': 'A', 'content': '$$6cm\\times 3cm$$ '}], [{'aoVal': 'B', 'content': '$$7cm\\times 3cm$$ '}], [{'aoVal': 'C', 'content': '$$4cm\\times 3cm$$ '}], [{'aoVal': 'D', 'content': '$$9cm\\times 6cm$$ '}], [{'aoVal': 'E', 'content': '$$9cm\\times 7cm$$ '}]]",D,Number Theory Modules
60,1,"How many of the following statements are true?  ($$A$$) If a number $$A$$ is a multiple of $$4$$, then any multiple of $$A$$ is a multiple of $$4$$.  ($$B$$) If $$4$$ is a factor of $$A$$, then any multiple of $$4$$ is also a multiple of $$A$$  ($$C$$) If both number $$A$$ and number $$B$$ are multiple of $$4$$, Then $$A+B$$ is a multiple of $$4$$.  ($$D$$) If a number $$B$$ is a multiple of $$20$$, then $$B$$ is a multiple of $$4$$. ","[[{'aoVal': 'A', 'content': '$$0$$ '}], [{'aoVal': 'B', 'content': '$$1$$ '}], [{'aoVal': 'C', 'content': '$$2$$ '}], [{'aoVal': 'D', 'content': '$$3$$ '}], [{'aoVal': 'E', 'content': '$$4$$ '}]]",D,Factors and Multiples
61,2,A seven-digit number $$\overline{579A379}$$ is divisible by $$11$$. Which number does $$A$$ represent? ． ,"[[{'aoVal': 'A', 'content': '$$1$$ '}], [{'aoVal': 'B', 'content': '$$2$$ '}], [{'aoVal': 'C', 'content': '$$3$$ '}], [{'aoVal': 'D', 'content': '$$4$$ '}]]",A,Division without Remainders
66,1,I multiply a whole number by $$3$$.  Which of the following could be my answer? ,"[[{'aoVal': 'A', 'content': '$$325$$ '}], [{'aoVal': 'B', 'content': '$$326$$ '}], [{'aoVal': 'C', 'content': '$$327$$ '}], [{'aoVal': 'D', 'content': '$$328$$ '}], [{'aoVal': 'E', 'content': '$$329$$ '}]]",C,Divisibility Rules
67,1,"If $1a2a3a4a5a$ is divisible by $11$, what is the value of $a$? ","[[{'aoVal': 'A', 'content': '$$1$$ '}], [{'aoVal': 'B', 'content': '$$2$$ '}], [{'aoVal': 'C', 'content': '$$3$$ '}], [{'aoVal': 'D', 'content': '$$4$$ '}]]",C,Divisibility Rules
68,1,There are~\uline{~~~~~~~~~~}~common multiples of $$3$$ and $$4$$ that are smaller than $$30$$. ,"[[{'aoVal': 'A', 'content': '$$1$$ '}], [{'aoVal': 'B', 'content': '$$2$$ '}], [{'aoVal': 'C', 'content': '$$3$$ '}], [{'aoVal': 'D', 'content': '$$4$$ '}]]",B,Common Factors and Common Multiples
69,0,Find the difference in the values of digit $$4$$ in $$4100$$ and $$8340$$. ,"[[{'aoVal': 'A', 'content': '$$3006$$ '}], [{'aoVal': 'B', 'content': '$$3060$$ '}], [{'aoVal': 'C', 'content': '$$3600$$ '}], [{'aoVal': 'D', 'content': '$$3960$$ '}]]",D,Numbers
71,1,Which of the following prime factorizations below is correct? ,"[[{'aoVal': 'A', 'content': '$97=1\\times97$ '}], [{'aoVal': 'B', 'content': '$85=5\\times17$ '}], [{'aoVal': 'C', 'content': '$64=2\\times32$ '}], [{'aoVal': 'D', 'content': '$52=1\\times2\\times2\\times13$ '}]]",B,Prime Factorization
72,1,What is the total value of all the odd numbers between $$34$$ and $$42$$? ,"[[{'aoVal': 'A', 'content': '$$35$$ '}], [{'aoVal': 'B', 'content': '$$72$$ '}], [{'aoVal': 'C', 'content': '$$111$$ '}], [{'aoVal': 'D', 'content': '$$152$$ '}]]",D,Understanding Odd and Even Numbers
73,1,"In a restaurant, there are $$7$$ tables with $$2$$ chairs each; $$5$$ tables with $$4$$ chairs each; $$4$$ tables with $$6$$ chairs each and one table with 8 chairs. If each chair is used by $$5$$ customers who spend $$$20$$ per day, what is the total daily revenue of all the chairs? ","[[{'aoVal': 'A', 'content': '$$1500$$ '}], [{'aoVal': 'B', 'content': '$$100$$ '}], [{'aoVal': 'C', 'content': '$$6600$$ '}], [{'aoVal': 'D', 'content': '$$330$$ '}], [{'aoVal': 'E', 'content': '$$1320$$ '}]]",C,Number Theory Modules
76,2,"How many perfect cubes lie between 2\textsuperscript{8}~+1 and 2\textsuperscript{18}+1, inclusive? ","[[{'aoVal': 'A', 'content': '$$4$$ '}], [{'aoVal': 'B', 'content': '$$9$$ '}], [{'aoVal': 'C', 'content': '$$10$$ '}], [{'aoVal': 'D', 'content': '$$57$$ '}], [{'aoVal': 'E', 'content': '$$58$$ '}]]",E,Perfect Square Numbers
81,1,"In $$47186$$, the digit $$7$$ stands for． ","[[{'aoVal': 'A', 'content': '$$7$$ ten thousands '}], [{'aoVal': 'B', 'content': '$$7$$ thousands '}], [{'aoVal': 'C', 'content': '$$7$$ hundreds '}], [{'aoVal': 'D', 'content': '$$7$$ tens '}]]",B,Numbers
82,1,Is the answer of 1+2+3+4+5+6+\ldots+23 an odd number or even number? ,"[[{'aoVal': 'A', 'content': 'Odd '}], [{'aoVal': 'B', 'content': 'Even '}]]",B,Odd and Even Numbers
85,1,Which \textbf{ONE~}of the following numbers is \textbf{NOT} divisible by $$3$$? ,"[[{'aoVal': 'A', 'content': '$$18171$$ '}], [{'aoVal': 'B', 'content': '$$44481$$ '}], [{'aoVal': 'C', 'content': '$$38501$$ '}], [{'aoVal': 'D', 'content': '$$57060$$ '}]]",C,Simple Questions of Division without Remainders
86,1,A large cuboid box measures~$$9 cm \times 15 cm \times 12 cm$$. How many cubes with an~edge length of $$3 cm$$ can fit in this large box? ,"[[{'aoVal': 'A', 'content': '$$76$$ '}], [{'aoVal': 'B', 'content': '$$56$$ '}], [{'aoVal': 'C', 'content': '$$60$$ '}], [{'aoVal': 'D', 'content': '$$192$$ '}], [{'aoVal': 'E', 'content': '$$58$$ '}]]",C,Number Theory Modules
91,1,"The five-digit number $24x8y$ is divisible by $$4$$, $$5$$, and $$9$$. The sum of the digits $$x$$ and $$y$$ is equal to ． ","[[{'aoVal': 'A', 'content': '$$13$$ '}], [{'aoVal': 'B', 'content': '$$10$$ '}], [{'aoVal': 'C', 'content': '$$9$$ '}], [{'aoVal': 'D', 'content': '$$5$$ '}], [{'aoVal': 'E', 'content': '$$4$$ '}]]",E,Simple Questions of Division without Remainders
95,1,"The diameter of an iron atom is $0.000000014$ inches, what is the diameter of an iron atom written in scientific notation? ","[[{'aoVal': 'A', 'content': '$1.4\\times 10^{8}$ inches '}], [{'aoVal': 'B', 'content': '$1.4\\times 10^{-8}$ inches '}], [{'aoVal': 'C', 'content': '$0.14\\times 10^{9}$ inches '}], [{'aoVal': 'D', 'content': '$0.14\\times 10^{-9}$ inches '}]]",B,The Relationship between Exponents and the Number of Factors
96,3,Several different positive integers are written on the board. Exactly two of them are divisible by $$2$$ and exactly $$13$$ of them are divisible by $$13$$. Let $$M$$ be the greatest of these numbers. What is the smallest possible value of $$M$$? ,"[[{'aoVal': 'A', 'content': '$$169$$ '}], [{'aoVal': 'B', 'content': '$$260$$ '}], [{'aoVal': 'C', 'content': '$$273$$ '}], [{'aoVal': 'D', 'content': '$$299$$ '}], [{'aoVal': 'E', 'content': '$$325$$ '}]]",C,Questions Involving Properties of Dividing without Remainders
102,1,Adam wrote out all the numbers from $$1$$ to $$60$$ inclusive. How many times did he use the digit $$5$$? ,"[[{'aoVal': 'A', 'content': '$$15$$ '}], [{'aoVal': 'B', 'content': '$$16$$ '}], [{'aoVal': 'C', 'content': '$$6$$ '}], [{'aoVal': 'D', 'content': '$$7$$ '}]]",B,Questions Involving Applying Place Value Principle
109,1,What is the sum of all the prime numbers are between $$10$$ and $$20$$? ,"[[{'aoVal': 'A', 'content': '$$55$$ '}], [{'aoVal': 'B', 'content': '$$58$$ '}], [{'aoVal': 'C', 'content': '$$60$$ '}], [{'aoVal': 'D', 'content': '$$64$$ '}]]",C,Determining Prime and Composite Numbers
111,1,"How many digit 1 can you see below?  1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11 ","[[{'aoVal': 'A', 'content': '$$1$$ '}], [{'aoVal': 'B', 'content': '$$2$$ '}], [{'aoVal': 'C', 'content': '$$3$$ '}], [{'aoVal': 'D', 'content': '$$4$$ '}]]",D,Place Value and Number Bases
112,1,Which of these numbers is exactly divisible by $$3$$ and $$9$$? ,"[[{'aoVal': 'A', 'content': '$$66$$ '}], [{'aoVal': 'B', 'content': '$$24$$ '}], [{'aoVal': 'C', 'content': '$$33$$ '}], [{'aoVal': 'D', 'content': '$$126$$ '}], [{'aoVal': 'E', 'content': '$$89$$ '}]]",D,Simple Questions of Division without Remainders
115,2,"Barry wrote 6 different numbers, one on each side of 3 cards, and laid the cards on a table, as shown. The sums of the two numbers on each of the three cards are equal. The three numbers on the hidden sides are prime numbers. What is the average of the hidden prime numbers? ","[[{'aoVal': 'A', 'content': '$$13$$ '}], [{'aoVal': 'B', 'content': '$$14$$ '}], [{'aoVal': 'C', 'content': '$$15$$ '}], [{'aoVal': 'D', 'content': '$$16$$ '}], [{'aoVal': 'E', 'content': '$$17$$ '}]]",B,Prime and Composite Numbers
116,1,"There~are eighteen squares, when placed next to each other in two rows, that fit exactly into a rectangle. If the perimeter of a square is $$4 cm$$, what is the perimeter of the rectangle? ","[[{'aoVal': 'A', 'content': '$$24cm$$ '}], [{'aoVal': 'B', 'content': '$$22cm$$ '}], [{'aoVal': 'C', 'content': '$$16cm$$ '}], [{'aoVal': 'D', 'content': '$$18cm$$ '}], [{'aoVal': 'E', 'content': '$$64cm$$ '}]]",B,Number Theory Modules
117,1,"What is the missing number?  $$4673$$, $$4973$$,~\uline{~~~~~~~~~~}~, $$5873$$, $$6473$$ ","[[{'aoVal': 'A', 'content': '$$5173$$ '}], [{'aoVal': 'B', 'content': '$$5273$$ '}], [{'aoVal': 'C', 'content': '$$5373$$ '}], [{'aoVal': 'D', 'content': '$$5473$$ '}]]",C,Patterns in Number Sequences
120,1,A number is greater than $$15$$ but smaller than $$20$$. It is divisible by $$2$$ and $$3$$. What is this number?~\uline{~~~~~~~~~~}~ ,"[[{'aoVal': 'A', 'content': '$$15$$ '}], [{'aoVal': 'B', 'content': '$$18$$ '}], [{'aoVal': 'C', 'content': '$$23$$ '}], [{'aoVal': 'D', 'content': '$$25$$ '}]]",B,Applying the Properties of Dividing without Remainders
123,1,A number when divided by $$5$$ gives a quotient of $$170$$ and a remainder of $$4$$.What is the number? ,"[[{'aoVal': 'A', 'content': '$$680$$ '}], [{'aoVal': 'B', 'content': '$$846$$ '}], [{'aoVal': 'C', 'content': '$$850$$ '}], [{'aoVal': 'D', 'content': '$$854$$ '}]]",D,Characteristics of Remainder 
125,1,What is the difference between the largest $$5$$-digit number and the smallest $$6$$-digit number?~\uline{~~~~~~~~~~}~ ,"[[{'aoVal': 'A', 'content': '$$1$$ '}], [{'aoVal': 'B', 'content': '$$2$$ '}], [{'aoVal': 'C', 'content': '$$3$$ '}], [{'aoVal': 'D', 'content': '$$4$$ '}]]",A,Applying the Principle of Place Value
128,0,Which one of the following is an odd number? ,"[[{'aoVal': 'A', 'content': '$$352$$ '}], [{'aoVal': 'B', 'content': '$$134$$ '}], [{'aoVal': 'C', 'content': '$$96$$ '}], [{'aoVal': 'D', 'content': '$$647$$ '}], [{'aoVal': 'E', 'content': '$$770$$ '}]]",D,Understanding Odd and Even Numbers
130,1,"There~are 18 squares, when placed next to each other in 2 rows, that fit exactly into a rectangle. If the perimeter of a square is $$4 cm$$, what is the perimeter of the rectangle? ","[[{'aoVal': 'A', 'content': '$$24cm$$ '}], [{'aoVal': 'B', 'content': '$$22cm$$ '}], [{'aoVal': 'C', 'content': '$$16cm$$ '}], [{'aoVal': 'D', 'content': '$$18cm$$ '}], [{'aoVal': 'E', 'content': '$$64cm$$ '}]]",B,Number Theory Modules
132,1,"Adam wrote out all the numbers from $$1$$ to $$60$$ inclusive. How many times did he use the digit $$5$$? ($$2008$$ Math Kangaroo Problem, Level $$1-2$$, Question \#$$15$$) ","[[{'aoVal': 'A', 'content': '$$15$$ '}], [{'aoVal': 'B', 'content': '$$16$$ '}], [{'aoVal': 'C', 'content': '$$6$$ '}], [{'aoVal': 'D', 'content': '$$7$$ '}]]",B,Questions Involving Applying Place Value Principle
137,2,One day Randy was bored and he wrotre all the whole numbers from 49 to 97 on his paper. How many times did he write the digit \textquotesingle\textquotesingle8\textquotesingle\textquotesingle{} on his paper? ,"[[{'aoVal': 'A', 'content': '$$4$$ '}], [{'aoVal': 'B', 'content': '$$8$$ '}], [{'aoVal': 'C', 'content': '$$11$$ '}], [{'aoVal': 'D', 'content': '$$13$$ '}], [{'aoVal': 'E', 'content': 'None of the above '}]]",E,Understanding Numbers and Digits
144,1,"Grandmother baked cookies for her grandchildren, some of whom were going to visit her that day. She wanted each of her grandchildren to have the same number of cookies, but she forgot if three, five, or six grandchildren were coming. So, she baked enough cookies so that there would be an equal number for every grandchild regardless of how many visited. Which of these could be the number of cookies Grandmother baked? ","[[{'aoVal': 'A', 'content': '$$12$$ '}], [{'aoVal': 'B', 'content': '$$15$$ '}], [{'aoVal': 'C', 'content': '$$18$$ '}], [{'aoVal': 'D', 'content': '$$24$$ '}], [{'aoVal': 'E', 'content': '$$30$$ '}]]",E,Multiples Word Problems
146,1,Which of the following is a set of prime numbers? ,"[[{'aoVal': 'A', 'content': '$$1$$, $$5$$, $$37$$, $$41$$ '}], [{'aoVal': 'B', 'content': '$$2$$, $$77$$, $$86$$, $$13$$ '}], [{'aoVal': 'C', 'content': '$$3$$, $$11$$, $$29$$, $$41$$ '}], [{'aoVal': 'D', 'content': '$$9$$, $$13$$, $$56$$, $$79$$ '}]]",C,Determining Prime and Composite Numbers
147,0,Calculate quickly  $100\div5\div5$~=． ,"[[{'aoVal': 'A', 'content': '$100\\div（5\\times5）$ '}], [{'aoVal': 'B', 'content': '$100\\div（5-5）$ '}], [{'aoVal': 'C', 'content': '$100\\div（5\\div5）$ '}], [{'aoVal': 'D', 'content': '$100\\div（5+5）$ '}]]",A,Division without Remainders
149,3,"If n is an even positive integer, the double factorial notation n!! represents the product of all the even integers from 2 to n. For example, $8!!=2\cdot4\cdot6\cdot8$. What is the units digit of the following sum?  $2!!+4!!+6!!+\cdot\cdot\cdot+2018!!+2020!!+2022!!$ ","[[{'aoVal': 'A', 'content': '$$0$$ '}], [{'aoVal': 'B', 'content': '$$2$$ '}], [{'aoVal': 'C', 'content': '$$4$$ '}], [{'aoVal': 'D', 'content': '$$6$$ '}], [{'aoVal': 'E', 'content': '$$8$$ '}]]",B,Factors and Multiples
150,2,"The smallest positive integer greater than $1$ that leaves a remainder of $1$ when divided by $4$, $5$, and $6$ lies between which of the following pairs of numbers? ","[[{'aoVal': 'A', 'content': '$$2$$ and $$19$$ '}], [{'aoVal': 'B', 'content': '$$20$$ and $$39$$ '}], [{'aoVal': 'C', 'content': '$$40$$ and $$59$$ '}], [{'aoVal': 'D', 'content': '$$60$$ and $$79$$ '}], [{'aoVal': 'E', 'content': '$$80$$ and $$124$$ '}]]",D,Division without Remainders
151,4,"The muzzle velocity of a 0.003-kg paintball pellet is 90 m/s. If it takes 0.002 s for the pellet to be shot from the paintball gun, what is the average force of the recoilon the paintball gun? ","[[{'aoVal': 'A', 'content': '$$24N$$ '}], [{'aoVal': 'B', 'content': '$$60N$$ '}], [{'aoVal': 'C', 'content': '$$68N$$ '}], [{'aoVal': 'D', 'content': '$$135N$$ '}]]",D,Number Theory Modules
153,1,? ,"[[{'aoVal': 'A', 'content': 'a '}], [{'aoVal': 'B', 'content': 'B '}], [{'aoVal': 'C', 'content': 'c '}], [{'aoVal': 'D', 'content': 'D '}]]",B,Prime Factorization
155,1,"In $$39$$, the value of the digit in the tens place is． ","[[{'aoVal': 'A', 'content': '$$3$$ ones '}], [{'aoVal': 'B', 'content': '$$30$$ ones '}], [{'aoVal': 'C', 'content': '$$30$$ tens '}], [{'aoVal': 'D', 'content': '$$30$$ hundreds '}]]",B,Numbers
156,0,Which of the following is not a multiple of $6$? ,"[[{'aoVal': 'A', 'content': '$$(49+35)\\times 6$$ '}], [{'aoVal': 'B', 'content': '$$(49-35)\\times 42$$ '}], [{'aoVal': 'C', 'content': '$$24\\times 12-1$$ '}], [{'aoVal': 'D', 'content': '$$35\\times 6+48$$ '}]]",C,Prime and Composite Numbers
159,0,The value of the side of a square is a prime number and which of the following statements is true? ,"[[{'aoVal': 'A', 'content': 'The value of its area is a prime number '}], [{'aoVal': 'B', 'content': 'The value of its area is a composite number '}], [{'aoVal': 'C', 'content': 'It can not be determined whether the value of its area is a prime number or not. '}]]",B,Prime and Composite Numbers
161,1,Which of the following numbers is not divisible by $$2$$? ,"[[{'aoVal': 'A', 'content': '$$578397490$$ '}], [{'aoVal': 'B', 'content': '$$57893084$$ '}], [{'aoVal': 'C', 'content': '$$5791592$$ '}], [{'aoVal': 'D', 'content': '$$24618221$$ '}]]",D,Divisibility Rules
164,1,Prime factorization: $$598=$$． ,"[[{'aoVal': 'A', 'content': '$$2\\times13\\times23$$ '}], [{'aoVal': 'B', 'content': '$$5\\times15\\times25$$ '}], [{'aoVal': 'C', 'content': '$$2\\times23\\times10$$ '}]]",A,Prime Factorization
169,1,How many zeroes does the number $$12^{2}\times15^{3}$$ end with? ,"[[{'aoVal': 'A', 'content': '$$6$$ '}], [{'aoVal': 'B', 'content': '$$12$$ '}], [{'aoVal': 'C', 'content': '$$5$$ '}], [{'aoVal': 'D', 'content': '$$3$$ '}], [{'aoVal': 'E', 'content': '$$1$$ '}]]",D,The Number of Zeros at the end of a Product
172,2,Elmo is packing $$107$$ cookies. He wants to put $$5$$ cookies exactly in each plastic bag. How many cookies will not be packed into plastic bags? ,"[[{'aoVal': 'A', 'content': '$$0$$ '}], [{'aoVal': 'B', 'content': '$$1$$ '}], [{'aoVal': 'C', 'content': '$$2$$ '}], [{'aoVal': 'D', 'content': '$$3$$ '}], [{'aoVal': 'E', 'content': '$$4$$ '}]]",C,Divisibility Rules
174,1,Determine if the result of~$$1+2+3+4+5+6\cdots\cdots+99+100$$~is an odd or even~number. ,"[[{'aoVal': 'A', 'content': 'Odd '}], [{'aoVal': 'B', 'content': 'Even '}]]",B,Odd and Even Numbers
175,1,There are $$17$$ children participating in a competition. The competition requires them to divide into $$4$$ teams on the average. How many more children are needed for this competition? ,"[[{'aoVal': 'A', 'content': '$$0$$ '}], [{'aoVal': 'B', 'content': '$$1$$ '}], [{'aoVal': 'C', 'content': '$$2$$ '}], [{'aoVal': 'D', 'content': '$$3$$ '}], [{'aoVal': 'E', 'content': '$$4$$ '}]]",D,Guessing Dividends
179,1,"George has $$120$$ stamps; Gina has $$220$$ stamps and John has $$320$$ stamps. If all the stamps were mixed together and redistributed to these three children, how many stamps would each person get? ","[[{'aoVal': 'A', 'content': '$$140$$ '}], [{'aoVal': 'B', 'content': '$$180$$ '}], [{'aoVal': 'C', 'content': '$$240$$ '}], [{'aoVal': 'D', 'content': '$$220$$ '}], [{'aoVal': 'E', 'content': '$$320$$ '}]]",D,Number Theory Modules
182,1,"Malcolm wants to visit Isabella after school today and knows the street where she lives but doesn\textquotesingle t know her house number. She tells him, ""My house number has two digits, and exactly three of the following four statements about it are true.""  (1) It is prime.  (2) It is even.  (3) It is divisible by $7$.  (4) One of its digits is $9$.  This information allows Malcolm to determine Isabella\textquotesingle s house number. What is its units digit? ","[[{'aoVal': 'A', 'content': '$$4$$ '}], [{'aoVal': 'B', 'content': '$$6$$ '}], [{'aoVal': 'C', 'content': '$$7$$ '}], [{'aoVal': 'D', 'content': '$$8$$ '}], [{'aoVal': 'E', 'content': '$$9$$ '}]]",D,Number Theory Modules
