a,b,c
1.0,1.0,0.1612526435258005
1.0,1.0,0.18986277768250814
1.0,1.0,0.12868986747096722
1.0,1.0,0.18355456275146612
1.0,1.0,0.10573451712816558
1.0,1.0,0.17924346717397455
1.0,2.0,0.2187348968708671
1.0,1.0,0.23852097015119342
1.0,1.0,0.19502916243615473
1.0,1.0,0.19351909820304147
1.0,1.0,0.16678707617499333
1.0,1.0,0.2490934858430571
1.0,1.0,0.10983902606036802
1.0,0.0,0.2326547655223653
1.0,1.0,0.22887897712124156
1.0,1.0,0.1459132832035358
1.0,1.0,0.1334009703179624
1.0,0.0,0.22789861776277123
1.0,1.0,0.24542012744369593
1.0,0.0,0.23625349163378426
1.0,1.0,0.12915404420601073
1.0,1.0,0.105948326674192
1.0,1.0,0.19539083317039851
1.0,1.0,0.14141298028410787
1.0,1.0,0.19349878658063513
1.0,1.0,0.20197553806848223
1.0,1.0,0.20986787630696296
1.0,1.0,0.15911970024819314
1.0,1.0,0.22653507886638552
1.0,1.0,0.18733525912869714
1.0,1.0,0.10202500853271332
1.0,1.0,0.12400963509817153
1.0,4.0,0.16288991427348926
1.0,1.0,0.1387407292502693
1.0,1.0,0.1542597475665311
1.0,1.0,0.2256881658141645
1.0,1.0,0.10880776056240014
1.0,1.0,0.24659709848298741
1.0,1.0,0.24400466679912028
1.0,2.0,0.20727403745956552
1.0,1.0,0.23937463513311852
1.0,1.0,0.1442143076452536
1.0,1.0,0.13353347633069737
1.0,1.0,0.1278634173099125
1.0,1.0,0.16509522278735644
1.0,1.0,0.16493473219173693
1.0,1.0,0.14267984076779597
1.0,1.0,0.15032957030739139
1.0,1.0,0.1537342047331998
1.0,1.0,0.18237987701969938
1.0,1.0,0.2489690512879985
1.0,1.0,0.21065483769313625
1.0,1.0,0.10193418160851779
1.0,1.0,0.15640957244176354
1.0,1.0,0.21894055638016935
1.0,1.0,0.23635276728650464
1.0,1.0,0.22257630604808482
1.0,1.0,0.19877597813070647
1.0,1.0,0.23697131465150056
1.0,1.0,0.21494343077025932
1.0,1.0,0.1057793610917634
1.0,4.0,0.2014821400141168
1.0,3.0,0.24032597290930624
1.0,1.0,0.12001645567773048
1.0,1.0,0.21035501602364937
1.0,1.0,0.15223819395241223
1.0,2.0,0.2040620622394927
1.0,1.0,0.22352317594410576
1.0,1.0,0.23721410201052517
1.0,1.0,0.21268550830491445
1.0,1.0,0.23064866176435067
1.0,0.0,0.11046727168552956
1.0,1.0,0.23521109300993223
1.0,1.0,0.20997704669401396
1.0,1.0,0.21960142101540395
1.0,1.0,0.12009741418560302
1.0,1.0,0.11572074982543297
1.0,2.0,0.15196473460253437
1.0,1.0,0.13395432930563064
1.0,1.0,0.22313646951272154
1.0,1.0,0.19324388133631437
1.0,1.0,0.10148277242223623
1.0,2.0,0.21558396026637594
1.0,1.0,0.12105389710500242
1.0,1.0,0.2339095113007105
1.0,1.0,0.21589209816092583
1.0,1.0,0.2406931395667836
1.0,1.0,0.14158118129954658
1.0,1.0,0.17988131268299534
1.0,1.0,0.17566714631154923
1.0,4.0,0.22143298497460318
1.0,1.0,0.12647455408506825
1.0,3.0,0.1771020990833715
1.0,1.0,0.23970665491497542
1.0,1.0,0.17299225105318577
1.0,1.0,0.17590513859230744
1.0,1.0,0.11356440645407162
1.0,1.0,0.18093357423728307
1.0,4.0,0.22417839640821477
1.0,1.0,0.11519774640875628
1.0,1.0,0.19029652369405023
1.0,1.0,0.18831803840407557
1.0,0.0,0.12975411296488204
1.0,1.0,0.15335037179426142
1.0,1.0,0.14016659312549207
1.0,1.0,0.1109811853445043
1.0,2.0,0.1018974770401028
1.0,2.0,0.21479365845455917
1.0,0.0,0.14425953047802526
1.0,2.0,0.1308556104179143
1.0,1.0,0.24153563611464476
1.0,1.0,0.20531249457629935
1.0,0.0,0.13897304171938854
1.0,1.0,0.11671789835898039
1.0,0.0,0.23743563105274362
1.0,0.0,0.17418807550525717
1.0,1.0,0.12575343419019633
1.0,1.0,0.13995473728537552
1.0,1.0,0.16946564836609962
1.0,1.0,0.21766001999080206
1.0,1.0,0.20708247626341458
1.0,1.0,0.13386314492101353
1.0,1.0,0.18446405195122345
1.0,1.0,0.16089001234451733
1.0,1.0,0.10856921550978464
1.0,1.0,0.1985605096368548
1.0,3.0,0.24862070681902973
1.0,1.0,0.10507309748433341
1.0,1.0,0.11554704431438959
1.0,1.0,0.20631281044424538
1.0,0.0,0.15016657825564714
1.0,4.0,0.19428538250384964
1.0,1.0,0.1791566693653796
1.0,1.0,0.2449121265278937
1.0,1.0,0.20813422749088945
1.0,1.0,0.15645712538675546
1.0,1.0,0.20489737599143643
1.0,1.0,0.19766029181901945
1.0,1.0,0.17082945460657917
1.0,1.0,0.17570460951728067
1.0,0.0,0.1837977192648392
1.0,0.0,0.1742165211177628
1.0,1.0,0.2277164659962828
1.0,1.0,0.18076659189760597
1.0,0.0,0.2308342830218883
1.0,1.0,0.17945611586809979
1.0,1.0,0.14248610160787428
1.0,4.0,0.10827080367201307
1.0,1.0,0.1001240064211564
1.0,1.0,0.1645026483241343
1.0,1.0,0.10847185495052271
1.0,1.0,0.1021870007950185
1.0,1.0,0.13274845885014774
1.0,2.0,0.13340922011723425
1.0,1.0,0.22233022649737755
1.0,1.0,0.1226435721460492
1.0,1.0,0.2316861459687682
1.0,1.0,0.17188314373343677
1.0,1.0,0.2346853564111237
1.0,1.0,0.16996784642811563
1.0,1.0,0.12296622228487547
1.0,1.0,0.24864958809346957
1.0,1.0,0.2278063468922157
1.0,4.0,0.19282738485129636
1.0,1.0,0.1354197363112999
1.0,1.0,0.15269173755593635
1.0,2.0,0.1986363698033773
1.0,0.0,0.20692081311196114
1.0,1.0,0.1410321409827216
1.0,1.0,0.10558590520384628
1.0,1.0,0.24199528806183862
1.0,4.0,0.17041957831037668
1.0,1.0,0.2490045676920324
1.0,0.0,0.15031405138128137
1.0,1.0,0.22846975898348912
1.0,0.0,0.18651262389229084
1.0,1.0,0.13983726610634648
1.0,1.0,0.24941997916744335
1.0,0.0,0.1424901486132252
1.0,1.0,0.1884548152274505
1.0,1.0,0.10248839408981025
1.0,1.0,0.21862557992153142
1.0,0.0,0.13186816598433068
1.0,1.0,0.18281513151059392
1.0,1.0,0.19327361101492258
1.0,1.0,0.24298224559899642
1.0,0.0,0.1988664992020276
1.0,1.0,0.21096355866706318
1.0,1.0,0.23952478365724852
1.0,1.0,0.18837285872835657
1.0,1.0,0.1506565335107598
1.0,2.0,0.2195184388459237
1.0,2.0,0.2007476282828159
1.0,0.0,0.21044425049382187
1.0,1.0,0.2174265384808527
1.0,1.0,0.1569210307838763
1.0,1.0,0.24036855764151308
1.0,0.0,0.12227069056694456
1.0,1.0,0.22469967727764917
1.0,1.0,0.14266325337198088
1.0,1.0,0.11696317131558391
1.0,1.0,0.1043878351935034
1.0,2.0,0.22778149332318928
1.0,4.0,0.20782789449885014
1.0,0.0,0.11220824518669474
1.0,1.0,0.16874536928148304
1.0,1.0,0.234793944794344
1.0,1.0,0.12862731102027333
1.0,1.0,0.23682290664009187
1.0,1.0,0.13131129831696425
1.0,3.0,0.13840728043129924
1.0,1.0,0.18809509692401805
1.0,1.0,0.21310146313469447
1.0,1.0,0.15674310744641928
1.0,0.0,0.1103683274246035
1.0,1.0,0.15336558989112167
1.0,1.0,0.15103637145573603
1.0,2.0,0.1609119902112075
1.0,1.0,0.1363013536938384
1.0,1.0,0.10606925313817149
1.0,1.0,0.14385166217742043
1.0,1.0,0.19046942237503056
1.0,0.0,0.16683274317722535
1.0,1.0,0.1006786913935788
1.0,1.0,0.10947234144344782
1.0,0.0,0.18211218475948548
1.0,2.0,0.21768414074671433
1.0,0.0,0.1711650741056763
1.0,1.0,0.2299184688104134
1.0,1.0,0.2366643527430338
1.0,1.0,0.19071127260257387
1.0,3.0,0.16002472913947044
1.0,2.0,0.2209177523913059
1.0,1.0,0.1560550618009049
1.0,4.0,0.22272001731094002
1.0,1.0,0.13414614057931704
1.0,1.0,0.2184648920065721
1.0,1.0,0.16261946014722983
1.0,0.0,0.17830148088267195
1.0,4.0,0.182202784610619
1.0,1.0,0.18249835338126946
1.0,1.0,0.14205128018822777
1.0,1.0,0.14778714871166942
1.0,1.0,0.19013601843790684
1.0,1.0,0.12530542691411417
1.0,2.0,0.18342146504636267
1.0,1.0,0.24952133521715691
1.0,4.0,0.20964648340210906
1.0,1.0,0.13184588782793727
1.0,1.0,0.10807702245539051
1.0,2.0,0.1826094850515148
1.0,1.0,0.1450665633275055
1.0,1.0,0.15759630765063065
1.0,0.0,0.10688477563058821
1.0,0.0,0.11857164398596279
1.0,1.0,0.17758148210026664
1.0,0.0,0.18236320624687108
1.0,1.0,0.10651286820734643
1.0,1.0,0.18126740541841957
1.0,1.0,0.2344281524016358
1.0,1.0,0.18689579539890422
1.0,1.0,0.16371234430752174
1.0,1.0,0.1941906416352942
1.0,1.0,0.12483804348380995
1.0,1.0,0.20932873150900583
1.0,1.0,0.145178409437113
1.0,1.0,0.24224984275027706
1.0,1.0,0.15863858181666693
1.0,1.0,0.21099736066909303
1.0,1.0,0.1558154343147558
1.0,1.0,0.1625915931279192
1.0,1.0,0.13067353358019576
1.0,1.0,0.2470637361438551
1.0,1.0,0.11648940475065803
1.0,2.0,0.14898953453991032
1.0,1.0,0.1794981075121767
1.0,1.0,0.14721745298294875
1.0,1.0,0.24398469670462283
1.0,1.0,0.14202542425705966
1.0,2.0,0.18465224317485213
1.0,1.0,0.22655115737632842
1.0,2.0,0.1581576641077868
1.0,1.0,0.23826791106897166
1.0,1.0,0.22898302715475888
1.0,1.0,0.22529147072043382
1.0,1.0,0.24556564862375893
1.0,0.0,0.21758445738507232
1.0,0.0,0.11989806889748443
1.0,1.0,0.22604517043161762
1.0,2.0,0.1959022097271776
1.0,1.0,0.2329367973386783
1.0,1.0,0.16764907340847762
1.0,1.0,0.10636466116142089
1.0,1.0,0.10773262069753917
1.0,1.0,0.18226496126325253
1.0,1.0,0.163713840909134
1.0,1.0,0.10720775609220107
1.0,1.0,0.19348958787201265
1.0,1.0,0.14866869287352252
1.0,3.0,0.21239848945887518
1.0,1.0,0.1081218975559575
1.0,1.0,0.2365626627036031
1.0,1.0,0.1772310923677956
1.0,1.0,0.12610257998299657
1.0,1.0,0.22161192938945184
1.0,1.0,0.1956559837820348
1.0,1.0,0.15665254200879047
1.0,1.0,0.1471854119529312
1.0,1.0,0.14235385848516463
1.0,1.0,0.1609651634363407
1.0,1.0,0.12216871823135499
1.0,1.0,0.15220202908339328
1.0,1.0,0.24138046420355727
1.0,2.0,0.19372271374622946
1.0,4.0,0.10971039073314877
1.0,1.0,0.12399349650074397
1.0,1.0,0.2232782058237784
1.0,0.0,0.22266949152419774
1.0,1.0,0.150352928825951
1.0,0.0,0.1325540295074415
1.0,2.0,0.18362143165795375
1.0,2.0,0.24197973462042957
1.0,4.0,0.18420923111109577
1.0,1.0,0.16509608029055967
1.0,2.0,0.22197934596540955
1.0,1.0,0.1918752737761996
1.0,1.0,0.17840851483165915
1.0,1.0,0.14641501910939655
1.0,1.0,0.11902571356856546
1.0,2.0,0.10236578115793966
1.0,0.0,0.16287167389263435
1.0,1.0,0.15893643758921433
1.0,1.0,0.1386945785951038
1.0,1.0,0.1504481285258322
1.0,1.0,0.11456886346848885
1.0,1.0,0.14085780386714358
1.0,1.0,0.1798303168639862
1.0,1.0,0.21355241065783745
1.0,0.0,0.14243802424656862
1.0,1.0,0.2293959405145429
1.0,1.0,0.16261741492813678
1.0,1.0,0.15135548538081128
1.0,2.0,0.21030978266678696
1.0,1.0,0.1044270216270403
1.0,0.0,0.10571911441870216
1.0,1.0,0.1838447064683475
1.0,0.0,0.11007016794938243
1.0,1.0,0.19284653387026882
1.0,1.0,0.1572930267804512
1.0,1.0,0.11348256553474653
1.0,1.0,0.22438371206544022
1.0,1.0,0.20815469434306405
1.0,1.0,0.16438795520632288
1.0,0.0,0.12983631665790096
1.0,1.0,0.231088284787199
1.0,1.0,0.126205868483587
1.0,1.0,0.15875633773630485
1.0,1.0,0.22675892957717206
1.0,2.0,0.13932867637890237
1.0,1.0,0.13351300048347245
1.0,0.0,0.12195497622074539
1.0,2.0,0.1609922017260014
1.0,1.0,0.1576140647845737
1.0,1.0,0.21815003565911342
1.0,1.0,0.179917636209687
1.0,1.0,0.12118508082304763
1.0,1.0,0.16314738339578505
1.0,1.0,0.11212987473407757
1.0,1.0,0.22760454767999627
1.0,2.0,0.1408398228298141
1.0,1.0,0.13809004589724846
1.0,0.0,0.2120789867638248
1.0,1.0,0.1752382645348983
1.0,0.0,0.18746706882918196
1.0,1.0,0.10820489786605926
1.0,1.0,0.20821762632159974
1.0,1.0,0.24417558692755212
1.0,1.0,0.12216474814240112
1.0,0.0,0.2361115130448201
1.0,1.0,0.24194490054600862
1.0,1.0,0.1268027894203672
1.0,1.0,0.1354989575536418
1.0,1.0,0.23993933555702557
1.0,1.0,0.2383795458176072
1.0,1.0,0.10392846558402138
1.0,0.0,0.22236375904292577
1.0,1.0,0.17211879003208103
1.0,1.0,0.21535231317251136
1.0,1.0,0.15667342132297396
1.0,2.0,0.12034420380742172
1.0,1.0,0.12018281780176505
1.0,1.0,0.2288232376938487
1.0,1.0,0.14144325319314374
1.0,1.0,0.12750669493661812
1.0,1.0,0.20165087320636038
1.0,1.0,0.18000333988744172
1.0,1.0,0.20790055883927577
1.0,1.0,0.21766030457346847
1.0,0.0,0.23432883095166385
1.0,1.0,0.2201865683314803
1.0,1.0,0.1787757524893614
1.0,2.0,0.18017456573391036
1.0,1.0,0.12583768738792178
1.0,1.0,0.22778748823665054
1.0,1.0,0.13285730086625586
1.0,1.0,0.12168768200601121
1.0,1.0,0.24723691829030586
1.0,1.0,0.15300596317745524
1.0,1.0,0.20953651465389356
1.0,1.0,0.14432887883449727
1.0,0.0,0.14518845485222115
1.0,1.0,0.14176918314326087
1.0,1.0,0.2377404656066414
1.0,1.0,0.13281042502903398
1.0,2.0,0.18532335107391437
1.0,1.0,0.10876335892397063
1.0,1.0,0.17892021556840376
1.0,1.0,0.22529730501650788
1.0,1.0,0.15221018243664416
1.0,1.0,0.19092447647727173
1.0,1.0,0.16071885706758196
1.0,1.0,0.12293986305636603
1.0,1.0,0.18195568289355568
1.0,1.0,0.13394508517460715
1.0,1.0,0.13345399936703642
1.0,1.0,0.12655293747364219
1.0,1.0,0.13541899470593433
1.0,1.0,0.19862729589536315
1.0,1.0,0.15558969600259942
1.0,1.0,0.21618036655864192
1.0,1.0,0.21095104801179657
1.0,1.0,0.19095048332411638
1.0,1.0,0.10420835843187952
1.0,1.0,0.1547886239483123
1.0,1.0,0.188618449779329
1.0,2.0,0.24148041880191798
1.0,2.0,0.10270043747097388
1.0,1.0,0.13761155054237356
1.0,1.0,0.13492420420550394
1.0,1.0,0.120460631658798
1.0,1.0,0.23077252975486412
1.0,1.0,0.18152794440347564
1.0,1.0,0.1784169670670484
1.0,2.0,0.15538886523915843
1.0,1.0,0.2401014746027736
1.0,1.0,0.13429009514941956
1.0,1.0,0.22891576122424354
1.0,1.0,0.21299251152614565
1.0,1.0,0.24096118347531975
1.0,1.0,0.12493092714939869
1.0,1.0,0.1104379276357291
1.0,1.0,0.18144113153432218
1.0,1.0,0.13271236135421183
1.0,1.0,0.13482155584154434
1.0,1.0,0.19379072730538802
1.0,1.0,0.17272612179144609
1.0,1.0,0.23079338988559026
1.0,1.0,0.21346287610506445
1.0,1.0,0.11040227102734369
1.0,0.0,0.13368567123634661
1.0,1.0,0.15489097297277515
1.0,1.0,0.2488896201965456
1.0,1.0,0.14928942224904107
1.0,1.0,0.1710433334796541
1.0,1.0,0.1783393503400169
1.0,1.0,0.228931154562392
1.0,0.0,0.13948258407511982
1.0,1.0,0.15473333809033005
1.0,1.0,0.24677448749373287
1.0,1.0,0.14885762936960129
1.0,1.0,0.22852253677359216
1.0,1.0,0.2179319041969242
1.0,1.0,0.16957009231187004
1.0,1.0,0.14854028824055823
1.0,1.0,0.18586078839803494
1.0,1.0,0.10889336576564439
1.0,1.0,0.2363444556024195
1.0,1.0,0.162444956793246
1.0,1.0,0.1885706668389954
1.0,1.0,0.17951403020305445
1.0,1.0,0.2435999171193528
1.0,1.0,0.16506227434698373
1.0,1.0,0.18607202024895872
1.0,1.0,0.20008467635453192
1.0,2.0,0.23383863849137398
1.0,1.0,0.15240999907423156
1.0,1.0,0.24966935062162177
1.0,2.0,0.16363175440455344
1.0,1.0,0.21898388401578422
1.0,1.0,0.14989283490261063
1.0,1.0,0.24351082602004578
1.0,1.0,0.15611327018734314
1.0,1.0,0.129407464598985
1.0,1.0,0.1749984389661752
1.0,1.0,0.1836829818156217
1.0,1.0,0.2197611500742275
1.0,2.0,0.10659512064126697
1.0,1.0,0.23138781070128195
1.0,2.0,0.24820149144095124
1.0,1.0,0.15343470593047656
1.0,1.0,0.24193948214782615
1.0,1.0,0.1337372818452112
1.0,1.0,0.1488671817196888
1.0,1.0,0.17179650873988472
1.0,1.0,0.23664521861154125
1.0,1.0,0.24484924885996392
1.0,1.0,0.13148307547620994
1.0,1.0,0.20801226522595184
1.0,1.0,0.20416365689061555
1.0,1.0,0.10383914081978551
1.0,1.0,0.13096302684027114
1.0,1.0,0.16954362702047943
1.0,1.0,0.10986164073664077
1.0,1.0,0.22211850623774
1.0,1.0,0.2295659354987458
1.0,1.0,0.24171416670366463
1.0,1.0,0.1161362908421952
1.0,1.0,0.20797352268793567
1.0,1.0,0.1144041554825513
1.0,1.0,0.14498475843786673
1.0,1.0,0.20657257969660275
1.0,1.0,0.19138329532782988
1.0,0.0,0.16714386062814496
1.0,0.0,0.13676368955849527
1.0,1.0,0.18702348152088116
1.0,1.0,0.1539187546298285
1.0,1.0,0.20796220701146684
1.0,1.0,0.19901471894712713
1.0,1.0,0.18088773250813636
1.0,1.0,0.11001373733747274
1.0,1.0,0.13356593159839605
1.0,1.0,0.13105661345412112
1.0,2.0,0.14135407157466437
1.0,2.0,0.19384897738932988
1.0,1.0,0.21424160428116196
1.0,1.0,0.1655608380064451
1.0,1.0,0.19157673909571354
1.0,1.0,0.11485714147807696
1.0,1.0,0.13882263559401903
1.0,1.0,0.10914998096551541
1.0,1.0,0.1291872782414342
1.0,1.0,0.14288173063156334
1.0,1.0,0.19602391543621794
1.0,2.0,0.19831941872051972
1.0,1.0,0.17912977296981847
1.0,0.0,0.20179969899207645
1.0,1.0,0.18671268503908303
1.0,0.0,0.23082546854629582
1.0,1.0,0.11786348250443408
1.0,1.0,0.12052770605482094
1.0,1.0,0.10377099716578247
1.0,1.0,0.24549970597780513
1.0,1.0,0.15330559605853677
1.0,1.0,0.20413027908223486
1.0,1.0,0.2098944638226667
1.0,0.0,0.13589491141777638
1.0,1.0,0.15677593252655256
1.0,1.0,0.2146729748613627
1.0,1.0,0.11024986887872557
1.0,1.0,0.14577945800439357
1.0,1.0,0.23208182324230658
1.0,1.0,0.15296330596642307
1.0,1.0,0.1960494045326296
1.0,1.0,0.13936676558059338
1.0,1.0,0.21762584574214255
1.0,1.0,0.13260024015210442
1.0,2.0,0.20551211119056473
1.0,2.0,0.1915161687377439
1.0,1.0,0.21426850350508042
1.0,2.0,0.16976907464682894
1.0,1.0,0.16488180201797842
1.0,1.0,0.24142258219642185
1.0,1.0,0.19243317297324497
1.0,0.0,0.17470126334064795
1.0,1.0,0.21481512921533183
1.0,1.0,0.2385922364785452
1.0,1.0,0.21776918391503808
1.0,2.0,0.20304716435881537
1.0,0.0,0.2478915102021876
1.0,1.0,0.11445927820688503
1.0,2.0,0.1660699049705472
1.0,1.0,0.11097690308095148
1.0,1.0,0.12089547949285859
1.0,1.0,0.1397717957281075
1.0,1.0,0.1372400745235675
1.0,1.0,0.11360757833515407
1.0,1.0,0.1289174065899552
1.0,1.0,0.24972076733534665
1.0,1.0,0.22681005776565175
1.0,1.0,0.22140388310201786
1.0,1.0,0.19382787494286247
1.0,1.0,0.21144221604874225
1.0,1.0,0.24730797975282262
1.0,1.0,0.238322104008806
1.0,0.0,0.15148783763405285
1.0,1.0,0.13008593705212354
1.0,1.0,0.10070286192258808
1.0,1.0,0.18866258909746558
1.0,1.0,0.18189335093110237
1.0,1.0,0.112004294386623
1.0,1.0,0.1566200720209504
1.0,1.0,0.17008342503380808
1.0,1.0,0.16279849718232398
1.0,1.0,0.21040278640085053
1.0,1.0,0.17170381066547638
1.0,1.0,0.16256342302462679
1.0,1.0,0.1268349945329636
1.0,1.0,0.2286941414854524
1.0,1.0,0.24678903434103683
1.0,1.0,0.13062318190051375
1.0,1.0,0.22991441728128728
1.0,1.0,0.1565021096005256
1.0,0.0,0.20693538277068113
1.0,1.0,0.21457089302343899
1.0,1.0,0.13841757316359568
1.0,1.0,0.1631485142142151
1.0,1.0,0.13056015218151343
1.0,2.0,0.13364132664640535
1.0,1.0,0.11193330214594521
1.0,1.0,0.18418730162294045
1.0,1.0,0.11874585538267271
1.0,0.0,0.23179279719823567
1.0,1.0,0.19433887256429133
1.0,1.0,0.13877584662706255
1.0,1.0,0.1830826931001549
1.0,1.0,0.16730326183480795
1.0,1.0,0.1428331635094734
1.0,1.0,0.12740770887915256
1.0,1.0,0.1368209147198275
1.0,1.0,0.24511921605398415
1.0,1.0,0.18603676964161614
1.0,1.0,0.20203409159358793
1.0,1.0,0.1301763042124588
1.0,1.0,0.16186624270060693
1.0,1.0,0.23335439790397344
1.0,1.0,0.12647990013407076
1.0,1.0,0.13346055551868122
1.0,1.0,0.14678973350251462
1.0,1.0,0.2371620108424908
1.0,1.0,0.1470107023122455
1.0,1.0,0.20276910214030783
1.0,1.0,0.22053492536212937
1.0,0.0,0.16460215643929077
1.0,0.0,0.22099540250517336
1.0,1.0,0.2319075803051088
1.0,1.0,0.14700725393916717
1.0,1.0,0.10210082912534083
1.0,1.0,0.1815638164836881
1.0,1.0,0.18808185639297437
1.0,1.0,0.21555723956147277
1.0,1.0,0.20258215309234284
1.0,1.0,0.19824057639946338
1.0,1.0,0.18636857629200415
1.0,1.0,0.19685783272852303
1.0,0.0,0.1613858384865357
1.0,1.0,0.23047406565166123
1.0,4.0,0.10802069588649928
1.0,1.0,0.20715467520632624
1.0,1.0,0.1225805819907132
1.0,1.0,0.19864079229746107
1.0,1.0,0.18739545683244196
1.0,1.0,0.1359302300282186
1.0,1.0,0.10650936946117218
1.0,1.0,0.11225356953184984
1.0,0.0,0.19854388772444012
1.0,1.0,0.1033439062266646
1.0,1.0,0.20419366656232948
1.0,1.0,0.21176270667293848
1.0,1.0,0.246615651900498
1.0,1.0,0.13567534045736906
1.0,1.0,0.24477971845094584
1.0,1.0,0.22764952332763178
1.0,4.0,0.22450000931556813
1.0,2.0,0.2260538361539984
1.0,1.0,0.181216548594074
1.0,1.0,0.19564714689437623
1.0,1.0,0.13040647493193078
1.0,1.0,0.15533173243801235
1.0,1.0,0.18742007566433747
1.0,2.0,0.17266858232344778
1.0,0.0,0.22337495944415567
1.0,0.0,0.126421791915811
1.0,3.0,0.21683404437112413
1.0,1.0,0.14650134018629873
1.0,1.0,0.2255273450880569
1.0,2.0,0.17886004498047559
1.0,1.0,0.20589175752252153
1.0,1.0,0.2094116051812
1.0,1.0,0.17285758360247533
1.0,1.0,0.13374116767878613
1.0,1.0,0.16563824859512932
1.0,1.0,0.1551163182352214
1.0,1.0,0.12897075001153407
1.0,1.0,0.10128168155563147
1.0,0.0,0.24338744330660256
1.0,1.0,0.17194640524319998
1.0,1.0,0.12933890960055927
1.0,0.0,0.24395609310878733
1.0,1.0,0.22652074274636314
1.0,1.0,0.1994672019946939
1.0,1.0,0.13094877562526422
1.0,1.0,0.2326285825682849
1.0,0.0,0.1026043378301245
1.0,1.0,0.19633742400751114
1.0,2.0,0.10585627164907478
1.0,1.0,0.1249450329937168
1.0,0.0,0.21662618628082755
1.0,0.0,0.12662378714294478
1.0,1.0,0.20059781986463252
1.0,1.0,0.23661229949955193
1.0,1.0,0.19513965665779323
1.0,1.0,0.15683707160754196
1.0,0.0,0.1826663710558613
1.0,1.0,0.23830690718477363
1.0,0.0,0.15022126602629945
1.0,1.0,0.18594642755265067
1.0,1.0,0.15836647201162138
1.0,1.0,0.1327996242829538
1.0,0.0,0.20654957585257472
1.0,1.0,0.17456572946092375
